season,name,pos,team,age,points,minutes,goals,assists,yellow_cards,red_cards,own_goals
2016/17,David Ospina,GK,Arsenal,36,2,143,0,0,0,0,0
2016/17,Petr Cech,GK,Arsenal,43,134,3097,0,0,2,0,1
2016/17,Laurent Koscielny,DEF,Arsenal,39,121,2821,2,1,4,1,0
2016/17,Per Mertesacker,DEF,Arsenal,40,1,38,0,0,0,0,0
2016/17,Gabriel Paulista,DEF,Arsenal,34,45,1517,0,0,6,0,0
2016/17,Héctor Bellerín,DEF,Arsenal,30,119,2503,1,5,4,0,0
2016/17,Kieran Gibbs,DEF,Arsenal,35,45,702,0,1,3,0,0
2016/17,Mathieu Debuchy,DEF,Arsenal,39,1,15,0,0,0,0,0
2016/17,Carl Jenkinson,DEF,Arsenal,33,2,82,0,0,0,0,0
2016/17,Nacho Monreal,DEF,Arsenal,39,115,3153,0,3,5,0,0
2016/17,Calum Chambers,DEF,Middlesbrough,30,83,2250,2,1,4,0,0
2016/17,Alexis Sánchez,MID,Arsenal,36,264,3217,24,11,6,0,0
2016/17,Theo Walcott,MID,Arsenal,36,122,1916,10,3,1,0,0
2016/17,Mesut Özil,MID,Arsenal,36,167,2841,8,11,2,0,0
2016/17,Santi Cazorla,MID,Arsenal,40,38,618,2,2,2,0,0
2016/17,Aaron Ramsey,MID,Arsenal,34,56,1236,1,4,3,0,0
2016/17,Jack Wilshere,MID,Bournemouth,33,61,1950,0,3,4,0,0
2016/17,Alex Oxlade-Chamberlain,MID,Arsenal,31,83,1564,2,7,1,0,0
2016/17,Serge Gnabry,MID,Arsenal,29,0,0,0,0,0,0,0
2016/17,Francis Coquelin,MID,Arsenal,34,52,1779,0,1,5,0,0
2016/17,Alex Iwobi,MID,Arsenal,29,89,1456,3,5,1,0,0
2016/17,Mohamed Elneny,MID,Arsenal,33,26,694,0,1,1,0,0
2016/17,Joel Campbell,MID,Arsenal,33,0,0,0,0,0,0,0
2016/17,Granit Xhaka,MID,Arsenal,32,85,2483,2,3,5,2,0
2016/17,Olivier Giroud,FWD,Arsenal,38,116,1206,12,5,2,0,0
2016/17,Danny Welbeck,FWD,Arsenal,34,37,748,2,2,0,0,0
2016/17,Yaya Sanogo,FWD,Arsenal,32,0,0,0,0,0,0,0
2016/17,Artur Boruc,GK,Bournemouth,45,120,3150,0,0,2,0,0
2016/17,Adam Federici,GK,Bournemouth,40,8,180,0,0,1,0,0
2016/17,Simon Francis,DEF,Bournemouth,40,89,2938,0,1,4,1,0
2016/17,Steve Cook,DEF,Bournemouth,34,112,3420,2,0,5,0,1
2016/17,Charlie Daniels,DEF,Bournemouth,38,134,3060,4,3,1,0,0
2016/17,Adam Smith,DEF,Bournemouth,34,104,3101,1,5,6,0,1
2016/17,Tyrone Mings,DEF,Bournemouth,32,4,506,0,0,0,0,2
2016/17,Nathan Aké,DEF,Chelsea,30,55,834,3,1,1,0,0
2016/17,Harry Arter,MID,Bournemouth,35,84,2956,1,4,11,1,0
2016/17,Marc Pugh,MID,Bournemouth,38,64,1329,2,3,1,0,0
2016/17,Andrew Surman,MID,Bournemouth,38,44,1800,0,1,1,1,0
2016/17,Eunan O'Kane,MID,Bournemouth,35,0,0,0,0,0,0,0
2016/17,Shaun MacDonald,MID,Bournemouth,37,0,0,0,0,0,0,0
2016/17,Junior Stanislas,MID,Bournemouth,35,107,1467,7,6,1,0,0
2016/17,Dan Gosling,MID,Bournemouth,35,49,1366,2,0,6,0,0
2016/17,Max Gradel,MID,Bournemouth,37,8,134,0,0,3,0,0
2016/17,Emerson Hyndman,MID,Bournemouth,29,0,0,0,0,0,0,0
2016/17,Jordon Ibe,MID,Bournemouth,29,36,1055,0,0,0,0,0
2016/17,Lewis Cook,MID,Bournemouth,28,17,432,0,2,1,0,0
2016/17,Joshua King,MID,Bournemouth,33,178,2714,16,3,1,0,0
2016/17,Callum Wilson,FWD,Bournemouth,33,63,1361,6,1,0,0,0
2016/17,Tokelo Rantie,FWD,Bournemouth,34,0,0,0,0,0,0,0
2016/17,Lewis Grabban,FWD,Bournemouth,37,6,60,0,1,0,0,0
2016/17,Benik Afobe,FWD,Bournemouth,32,88,1458,6,5,1,0,0
2016/17,Lys Mousset,FWD,Bournemouth,29,14,270,0,1,0,0,1
2016/17,Tom Heaton,GK,Burnley,39,149,3150,0,0,1,0,0
2016/17,Matthew Lowton,DEF,Burnley,36,90,3240,0,2,9,0,0
2016/17,Ben Mee,DEF,Burnley,35,94,3015,1,2,5,0,2
2016/17,Stephen Ward,DEF,Burnley,39,91,3230,1,1,5,0,0
2016/17,Michael Keane,DEF,Burnley,32,113,3150,2,1,4,0,0
2016/17,James Tarkowski,DEF,Burnley,32,23,568,0,0,1,0,0
2016/17,Tendayi Darikwa,DEF,Burnley,33,0,0,0,0,0,0,0
2016/17,David Jones,MID,Burnley,40,1,86,0,0,1,0,0
2016/17,George Boyd,MID,Burnley,39,92,2837,2,2,3,0,0
2016/17,Scott Arfield,MID,Burnley,36,69,2103,1,2,3,0,0
2016/17,Dean Marney,MID,Burnley,41,51,1764,1,2,7,0,0
2016/17,Fredrik Ulvestad,MID,Burnley,33,0,0,0,0,0,0,0
2016/17,Michael Kightly,MID,Burnley,39,6,104,0,0,0,0,0
2016/17,Sam Vokes,FWD,Burnley,35,121,2064,10,4,0,0,0
2016/17,Andre Gray,FWD,Burnley,34,108,2260,9,3,2,0,0
2016/17,Lukas Jutkiewicz,FWD,Burnley,36,2,13,0,0,0,0,0
2016/17,Ashley Barnes,FWD,Burnley,35,81,1774,6,3,6,1,0
2016/17,Rouwen Hennings,FWD,Burnley,37,0,0,0,0,0,0,0
2016/17,Chris Long,FWD,Burnley,30,0,0,0,0,0,0,0
2016/17,Thibaut Courtois,GK,Chelsea,33,141,3240,0,0,1,0,0
2016/17,Asmir Begovic,GK,Chelsea,38,2,180,0,0,0,0,0
2016/17,John Terry,DEF,Chelsea,44,21,496,1,0,1,0,0
2016/17,Branislav Ivanovic,DEF,Chelsea,41,23,589,0,1,2,0,0
2016/17,César Azpilicueta,DEF,Chelsea,35,170,3420,1,5,4,0,0
2016/17,Gary Cahill,DEF,Chelsea,39,178,3296,6,0,5,0,1
2016/17,Kurt Zouma,DEF,Chelsea,30,15,250,0,1,0,0,0
2016/17,Abdul Baba,DEF,Chelsea,31,0,0,0,0,0,0,0
2016/17,Matt Miazga,DEF,Chelsea,29,0,0,0,0,0,0,0
2016/17,Eden Hazard,MID,Chelsea,34,224,2985,16,9,3,0,0
2016/17,Cesc Fàbregas,MID,Chelsea,38,121,1340,5,15,8,0,0
2016/17,Oscar,MID,Chelsea,33,17,455,0,1,1,0,0
2016/17,Juan Cuadrado,MID,Chelsea,37,0,0,0,0,0,0,0
2016/17,Willian,MID,Chelsea,36,114,1534,8,3,3,0,0
2016/17,Nemanja Matic,MID,Chelsea,36,105,2694,1,8,4,0,0
2016/17,Ruben Loftus-Cheek,MID,Chelsea,29,6,35,0,0,0,0,0
2016/17,John Obi Mikel,MID,Chelsea,38,0,0,0,0,0,0,0
2016/17,Pedro,MID,Chelsea,37,162,2140,9,10,6,0,0
2016/17,Bertrand Traoré,MID,Chelsea,29,0,0,0,0,0,0,0
2016/17,Victor Moses,MID,Chelsea,34,105,2485,3,3,4,0,0
2016/17,Marco van Ginkel,MID,Chelsea,32,0,0,0,0,0,0,0
2016/17,Kenedy,MID,Chelsea,29,3,90,0,0,0,0,0
2016/17,N'Golo Kanté,MID,Chelsea,34,83,3138,1,1,9,0,0
2016/17,Michy Batshuayi,FWD,Chelsea,31,48,254,5,1,0,0,0
2016/17,Diego Costa,FWD,Chelsea,36,196,3083,20,11,10,0,0
2016/17,Loïc Rémy,FWD,Crystal Palace,38,6,134,0,0,0,0,0
2016/17,Julian Speroni,GK,Crystal Palace,46,0,0,0,0,0,0,0
2016/17,Wayne Hennessey,GK,Crystal Palace,38,92,2610,0,0,1,0,0
2016/17,Alex McCarthy,GK,Southampton,35,0,0,0,0,0,0,0
2016/17,Steve Mandanda,GK,Crystal Palace,40,19,810,0,0,0,0,0
2016/17,James Tomkins,DEF,Crystal Palace,36,75,1974,3,0,4,0,0
2016/17,Scott Dann,DEF,Crystal Palace,38,61,1752,3,1,2,0,0
2016/17,Joel Ward,DEF,Crystal Palace,35,86,3417,0,1,7,0,0
2016/17,Martin Kelly,DEF,Crystal Palace,35,46,2124,0,2,4,0,0
2016/17,Damien Delaney,DEF,Crystal Palace,43,51,2014,0,2,8,0,0
2016/17,Pape Souaré,DEF,Crystal Palace,35,6,270,0,0,0,0,0
2016/17,Yannick Bolasie,MID,Everton,36,45,1048,1,4,3,0,0
2016/17,Jason Puncheon,MID,Crystal Palace,39,92,3093,0,6,9,0,0
2016/17,Wilfried Zaha,MID,Crystal Palace,32,149,3019,7,11,8,0,0
2016/17,Mile Jedinak,MID,Crystal Palace,40,2,90,0,0,0,0,0
2016/17,Joe Ledley,MID,Crystal Palace,38,40,1160,1,1,1,0,0
2016/17,James McArthur,MID,Crystal Palace,37,93,1999,5,3,5,0,0
2016/17,Jordon Mutch,MID,Crystal Palace,33,4,53,0,0,0,0,0
2016/17,Jonny Williams,MID,Crystal Palace,31,0,0,0,0,0,0,0
2016/17,Lee Chung-Yong,MID,Crystal Palace,37,24,471,0,1,0,0,0
2016/17,Yohan Cabaye,MID,Crystal Palace,39,91,2125,4,4,7,0,0
2016/17,Bakary Sako,MID,Crystal Palace,37,7,142,0,0,0,0,0
2016/17,Andros Townsend,MID,Crystal Palace,33,116,2520,3,7,4,0,0
2016/17,Fraizer Campbell,FWD,Crystal Palace,37,16,165,1,0,0,0,0
2016/17,Connor Wickham,FWD,Crystal Palace,32,18,412,2,0,1,0,0
2016/17,Joel Robles,GK,Everton,35,89,1737,0,1,2,0,0
2016/17,Maarten Stekelenburg,GK,Everton,42,68,1683,0,0,2,0,1
2016/17,Leighton Baines,DEF,Everton,40,135,2819,2,5,4,0,0
2016/17,Séamus Coleman,DEF,Everton,36,133,2316,4,4,3,0,0
2016/17,Phil Jagielka,DEF,Everton,42,104,2251,3,3,4,1,0
2016/17,John Stones,DEF,Man City,31,59,2014,0,0,1,0,0
2016/17,Brendan Galloway,DEF,Everton,29,9,247,0,0,0,0,0
2016/17,Jiang Guangtai,DEF,Everton,31,0,0,0,0,0,0,0
2016/17,Matthew Pennington,DEF,Everton,30,9,180,1,0,0,0,0
2016/17,Ramiro Funes Mori,DEF,Everton,34,69,1543,0,1,0,0,0
2016/17,Kevin Mirallas,MID,Everton,37,119,2074,4,8,2,0,0
2016/17,Ross Barkley,MID,Everton,31,144,2900,5,11,5,0,0
2016/17,Tom Cleverley,MID,Watford,35,55,1848,0,3,4,0,0
2016/17,James McCarthy,MID,Everton,34,23,613,1,1,2,0,0
2016/17,Gareth Barry,MID,Everton,44,68,2109,2,1,10,0,0
2016/17,Darron Gibson,MID,Sunderland,37,17,640,0,0,4,0,0
2016/17,Muhamed Besic,MID,Everton,32,0,0,0,0,0,0,0
2016/17,Bryan Oviedo,MID,Sunderland,35,29,1323,0,0,4,0,0
2016/17,Gerard Deulofeu,MID,Everton,31,13,460,0,0,1,0,0
2016/17,Aaron Lennon,MID,Everton,38,22,509,0,1,0,0,0
2016/17,Romelu Lukaku,FWD,Everton,32,221,3266,25,6,3,0,0
2016/17,Arouna Koné,FWD,Everton,41,6,78,0,0,0,0,0
2016/17,Oumar Niasse,FWD,Hull,35,44,1096,4,1,3,1,0
2016/17,Allan McGregor,GK,Hull,43,0,0,0,0,0,0,0
2016/17,Eldin Jakupovic,GK,Hull,40,86,1980,0,0,0,0,0
2016/17,Brian Lenihan,DEF,Hull,31,0,0,0,0,0,0,0
2016/17,Curtis Davies,DEF,Hull,40,38,2135,0,2,4,0,1
2016/17,Michael Dawson,DEF,Hull,41,46,1722,3,0,4,0,1
2016/17,Moses Odubajo,DEF,Hull,31,0,0,0,0,0,0,0
2016/17,Andy Robertson,DEF,Hull,31,73,2736,1,2,5,0,0
2016/17,Harry Maguire,DEF,Hull,32,71,2307,2,3,5,0,0
2016/17,Alex Bruce,DEF,Hull,40,0,0,0,0,0,0,0
2016/17,Robert Snodgrass,MID,West Ham,37,133,2548,7,6,2,0,0
2016/17,Sam Clucas,MID,Hull,34,87,3186,3,1,9,1,0
2016/17,Jake Livermore,MID,West Brom,35,77,2970,1,1,5,1,0
2016/17,Ahmed El Mohamady,MID,Hull,37,62,2523,0,2,3,1,1
2016/17,Mohamed Diamé,MID,Hull,38,0,0,0,0,0,0,0
2016/17,Tom Huddlestone,MID,Hull,38,62,2025,1,2,5,1,1
2016/17,David Meyler,MID,Hull,36,33,962,1,0,2,0,0
2016/17,Shaun Maloney,MID,Hull,42,24,283,1,2,0,0,0
2016/17,Abel Hernández,FWD,Hull,34,72,1425,4,4,0,0,0
2016/17,Adama Diomande,FWD,Hull,35,42,1171,2,0,1,0,0
2016/17,Kasper Schmeichel,GK,Leicester,38,109,2666,0,0,1,0,0
2016/17,Ron-Robert Zieler,GK,Leicester,36,17,754,0,0,0,0,0
2016/17,Wes Morgan,DEF,Leicester,41,63,2430,1,1,3,0,0
2016/17,Christian Fuchs,DEF,Leicester,39,104,3103,2,4,10,0,0
2016/17,Jeffrey Schlupp,DEF,Crystal Palace,32,47,1139,0,2,0,0,0
2016/17,Marcin Wasilewski,DEF,Leicester,45,1,90,0,0,0,0,0
2016/17,Ritchie De Laet,DEF,Leicester,36,0,0,0,0,0,0,0
2016/17,Danny Simpson,DEF,Leicester,38,85,2988,0,3,12,0,0
2016/17,Robert Huth,DEF,Leicester,40,88,2926,2,2,9,0,2
2016/17,Yohan Benalouane,DEF,Leicester,38,27,917,0,0,4,0,0
2016/17,Riyad Mahrez,MID,Leicester,34,120,2826,6,4,4,0,0
2016/17,Marc Albrighton,MID,Leicester,35,95,2412,2,6,5,0,0
2016/17,Andy King,MID,Leicester,36,41,1446,1,0,4,0,0
2016/17,Danny Drinkwater,MID,Leicester,35,69,2466,1,1,6,0,0
2016/17,Gökhan Inler,MID,Leicester,41,0,0,0,0,0,0,0
2016/17,Demarai Gray,MID,Leicester,29,58,1049,1,4,2,0,0
2016/17,Daniel Amartey,MID,Leicester,30,53,1673,1,1,3,0,0
2016/17,Nampalys Mendy,MID,Leicester,33,6,269,0,0,1,0,0
2016/17,Jamie Vardy,FWD,Leicester,38,161,2801,13,8,2,1,0
2016/17,Leonardo Ulloa,FWD,Leicester,38,24,447,1,0,0,0,0
2016/17,Shinji Okazaki,FWD,Leicester,39,63,1565,3,1,1,0,0
2016/17,Ahmed Musa,FWD,Leicester,32,39,761,2,0,1,0,0
2016/17,Simon Mignolet,GK,Liverpool,37,110,2520,0,0,0,0,0
2016/17,Loris Karius,GK,Liverpool,32,32,900,0,0,0,0,0
2016/17,Mamadou Sakho,DEF,Crystal Palace,35,35,686,0,0,0,0,0
2016/17,Dejan Lovren,DEF,Liverpool,36,106,2553,2,1,6,0,0
2016/17,Alberto Moreno,DEF,Liverpool,33,15,305,0,1,1,0,0
2016/17,Nathaniel Clyne,DEF,Liverpool,34,129,3323,0,2,0,0,0
2016/17,Jon Flanagan,DEF,Burnley,32,9,360,0,0,2,0,0
2016/17,Joe Gomez,DEF,Liverpool,28,0,0,0,0,0,0,0
2016/17,Connor Randall,DEF,Liverpool,29,0,0,0,0,0,0,0
2016/17,Brad Smith,DEF,Bournemouth,31,4,269,0,0,1,0,0
2016/17,Kevin Stewart,DEF,Liverpool,31,4,20,0,0,0,0,0
2016/17,Joël Matip,DEF,Liverpool,33,97,2457,1,0,3,0,0
2016/17,Lucas Leiva,MID,Liverpool,38,47,1112,0,3,4,0,0
2016/17,Jordan Henderson,MID,Liverpool,35,73,2116,1,4,8,0,0
2016/17,Joe Allen,MID,Stoke,35,118,2930,6,3,9,0,0
2016/17,Philippe Coutinho,MID,Liverpool,33,171,2228,13,8,2,0,0
2016/17,Emre Can,MID,Liverpool,31,104,2371,5,2,6,0,0
2016/17,Adam Lallana,MID,Liverpool,37,139,2338,8,7,3,0,0
2016/17,Lazar Markovic,MID,Hull,31,37,1005,2,0,4,0,0
2016/17,Sheyi Ojo,MID,Liverpool,28,0,0,0,0,0,0,0
2016/17,James Milner,MID,Liverpool,39,139,3154,7,4,5,0,0
2016/17,Roberto Firmino,MID,Liverpool,33,180,3062,11,11,5,0,0
2016/17,Cameron Brannagan,MID,Liverpool,29,0,0,0,0,0,0,0
2016/17,Pedro Chirivella,MID,Liverpool,28,0,0,0,0,0,0,0
2016/17,Sadio Mané,MID,Liverpool,33,156,2242,13,7,4,0,0
2016/17,Christian Benteke,FWD,Crystal Palace,34,136,3131,15,2,10,0,0
2016/17,Daniel Sturridge,FWD,Liverpool,35,54,775,3,5,1,0,0
2016/17,Mario Balotelli,FWD,Liverpool,34,0,0,0,0,0,0,0
2016/17,Danny Ings,FWD,Liverpool,32,0,0,0,0,0,0,0
2016/17,Divock Origi,FWD,Liverpool,30,96,1469,7,4,0,0,0
2016/17,Joe Hart,GK,Man City,38,0,0,0,0,0,0,0
2016/17,Willy Caballero,GK,Man City,43,64,1452,0,0,0,0,0
2016/17,Aleksandar Kolarov,DEF,Man City,39,95,2535,1,1,6,0,1
2016/17,Pablo Zabaleta,DEF,Man City,40,45,1065,1,1,2,0,0
2016/17,Vincent Kompany,DEF,Man City,39,57,820,3,0,5,0,0
2016/17,Gaël Clichy,DEF,Man City,39,87,2123,1,0,2,0,0
2016/17,Bacary Sagna,DEF,Man City,42,55,1346,0,1,2,0,0
2016/17,Eliaquim Mangala,DEF,Man City,34,0,0,0,0,0,0,0
2016/17,Nicolás Otamendi,DEF,Man City,37,100,2592,1,2,9,0,0
2016/17,Fabian Delph,MID,Man City,35,13,224,1,0,1,0,0
2016/17,Raheem Sterling,MID,Man City,30,149,2509,7,14,7,0,0
2016/17,Samir Nasri,MID,Man City,38,1,16,0,0,0,0,0
2016/17,David Silva,MID,Man City,39,130,2760,4,9,6,0,0
2016/17,Yaya Touré,MID,Man City,42,86,1941,5,0,4,0,0
2016/17,Jesús Navas,MID,Man City,39,48,1064,0,3,2,0,0
2016/17,Fernandinho,MID,Man City,40,78,2755,2,1,4,2,0
2016/17,Fernando,MID,Man City,37,18,568,0,0,3,0,0
2016/17,Kevin De Bruyne,MID,Man City,34,199,2877,6,21,4,0,0
2016/17,Ilkay Gündogan,MID,Man City,34,41,704,3,1,0,0,0
2016/17,Nolito,MID,Man City,38,54,777,4,3,3,1,0
2016/17,Oleksandr Zinchenko,MID,Man City,28,0,0,0,0,0,0,0
2016/17,Sergio Agüero,FWD,Man City,37,175,2404,20,5,4,1,0
2016/17,Wilfried Bony,FWD,Stoke,36,29,684,2,0,1,0,0
2016/17,Kelechi Iheanacho,FWD,Man City,28,52,537,4,3,0,0,0
2016/17,David de Gea,GK,Man Utd,34,136,3150,0,0,2,0,0
2016/17,Sergio Romero,GK,Man Utd,38,23,180,0,0,0,0,0
2016/17,Chris Smalling,DEF,Man Utd,35,52,1217,1,1,0,0,0
2016/17,Phil Jones,DEF,Man Utd,33,55,1584,0,0,2,0,0
2016/17,Guillermo Varela,DEF,Man Utd,32,0,0,0,0,0,0,0
2016/17,Luke Shaw,DEF,Man Utd,29,45,688,0,3,1,0,0
2016/17,Marcos Rojo,DEF,Man Utd,35,77,1663,1,0,5,0,0
2016/17,Paddy McNair,DEF,Sunderland,30,12,353,0,0,0,0,1
2016/17,Antonio Valencia,DEF,Man Utd,39,120,2483,1,3,5,0,0
2016/17,Matteo Darmian,DEF,Man Utd,35,70,1333,0,0,3,0,0
2016/17,Cameron Borthwick-Jackson,DEF,Man Utd,28,0,0,0,0,0,0,0
2016/17,Timothy Fosu-Mensah,DEF,Man Utd,27,9,97,0,0,0,0,0
2016/17,Daley Blind,DEF,Man Utd,35,98,1830,1,2,2,0,0
2016/17,Eric Bailly,DEF,Man Utd,31,105,2058,0,0,4,0,0
2016/17,Juan Mata,MID,Man Utd,37,102,1614,6,3,3,0,1
2016/17,Marouane Fellaini,MID,Man Utd,37,48,1604,1,0,8,1,0
2016/17,Memphis Depay,MID,Man Utd,31,3,24,0,0,1,0,0
2016/17,Michael Carrick,MID,Man Utd,43,42,1601,0,0,2,0,0
2016/17,Ashley Young,MID,Man Utd,40,26,760,0,1,2,0,0
2016/17,Adnan Januzaj,MID,Sunderland,30,49,1628,0,3,3,1,0
2016/17,Ander Herrera,MID,Man Utd,35,97,2465,1,6,5,1,0
2016/17,Andreas Pereira,MID,Man Utd,29,0,0,0,0,0,0,0
2016/17,Morgan Schneiderlin,MID,Everton,35,37,1073,1,0,2,0,0
2016/17,Bastian Schweinsteiger,MID,Man Utd,40,0,0,0,0,0,0,0
2016/17,Jesse Lingard,MID,Man Utd,32,60,1360,1,3,3,0,0
2016/17,Anthony Martial,MID,Man Utd,29,95,1553,4,6,2,0,0
2016/17,Henrikh Mkhitaryan,MID,Man Utd,36,73,1348,4,1,1,0,0
2016/17,Wayne Rooney,FWD,Man Utd,39,76,1540,5,5,8,0,0
2016/17,James Wilson,FWD,Man Utd,29,0,0,0,0,0,0,0
2016/17,Marcus Rashford,FWD,Man Utd,27,76,1712,5,3,3,0,0
2016/17,Zlatan Ibrahimovic,FWD,Man Utd,43,163,2438,17,7,7,0,0
2016/17,Dimitrios Konstantopoulos,GK,Middlesbrough,46,0,0,0,0,0,0,0
2016/17,Víctor Valdés,GK,Middlesbrough,43,102,2520,0,0,1,0,0
2016/17,Daniel Ayala,DEF,Middlesbrough,34,31,918,1,0,3,0,0
2016/17,George Friend,DEF,Middlesbrough,37,59,1964,0,3,4,0,0
2016/17,Dael Fry,DEF,Middlesbrough,27,0,0,0,0,0,0,0
2016/17,Ben Gibson,DEF,Middlesbrough,32,121,3420,1,1,4,0,0
2016/17,Emilio Nsue,DEF,Middlesbrough,35,10,320,0,0,0,0,0
2016/17,Bernardo Espinosa,DEF,Middlesbrough,36,35,975,0,0,2,0,0
2016/17,Albert Adomah,MID,Middlesbrough,37,3,122,0,0,0,0,0
2016/17,Stewart Downing,MID,Middlesbrough,40,77,2214,1,3,1,0,0
2016/17,Adam Clayton,MID,Middlesbrough,36,70,2804,0,2,10,0,0
2016/17,Grant Leadbitter,MID,Middlesbrough,39,28,710,1,0,1,0,0
2016/17,Adam Reach,MID,Middlesbrough,32,0,0,0,0,0,0,0
2016/17,Adam Forshaw,MID,Middlesbrough,33,77,2695,0,2,4,0,0
2016/17,Carlos de Pena,MID,Middlesbrough,33,0,0,0,0,0,0,0
2016/17,Julien De Sart,MID,Middlesbrough,30,0,0,0,0,0,0,0
2016/17,Viktor Fischer,MID,Middlesbrough,31,25,438,0,3,0,0,0
2016/17,Marten de Roon,MID,Middlesbrough,34,91,2773,4,1,8,0,0
2016/17,David Nugent,FWD,Middlesbrough,40,4,43,0,0,0,0,0
2016/17,Jordan Rhodes,FWD,Middlesbrough,35,8,211,0,0,0,0,0
2016/17,Cristhian Stuani,FWD,Middlesbrough,38,54,1355,4,0,4,0,0
2016/17,Fraser Forster,GK,Southampton,37,134,3420,0,0,3,0,0
2016/17,Paulo Gazzaniga,GK,Southampton,33,0,0,0,0,0,0,0
2016/17,Ryan Bertrand,DEF,Southampton,35,123,2507,2,5,3,0,0
2016/17,José Fonte,DEF,West Ham,41,98,2934,0,0,4,0,0
2016/17,Maya Yoshida,DEF,Southampton,36,78,2070,1,1,2,0,0
2016/17,Matt Targett,DEF,Southampton,29,12,373,0,0,0,0,0
2016/17,Florin Gardos,DEF,Southampton,36,0,0,0,0,0,0,0
2016/17,Cédric Soares,DEF,Southampton,33,102,2515,0,3,7,0,0
2016/17,Cuco Martina,DEF,Southampton,35,31,592,0,0,0,0,0
2016/17,Virgil van Dijk,DEF,Southampton,34,75,1852,1,0,3,1,0
2016/17,Nathan Redmond,MID,Southampton,31,126,2898,7,1,2,1,0
2016/17,Steven Davis,MID,Southampton,40,77,2643,0,3,3,0,0
2016/17,James Ward-Prowse,MID,Southampton,30,92,1883,4,4,4,0,0
2016/17,Harrison Reed,MID,Southampton,30,3,64,0,0,0,0,0
2016/17,Dusan Tadic,MID,Southampton,36,108,2411,3,7,4,0,0
2016/17,Jordy Clasie,MID,Southampton,34,38,1022,1,1,3,0,0
2016/17,Oriol Romeu,MID,Southampton,33,80,3071,1,0,11,0,0
2016/17,Jay Rodriguez,MID,Southampton,35,73,893,5,2,0,0,0
2016/17,Pierre-Emile Højbjerg,MID,Southampton,29,38,1300,0,0,2,0,0
2016/17,Shane Long,FWD,Southampton,38,57,1262,3,2,2,0,0
2016/17,Charlie Austin,FWD,Southampton,36,62,934,6,1,1,0,0
2016/17,Shay Given,GK,Stoke,49,13,450,0,0,1,0,1
2016/17,Jack Butland,GK,Stoke,32,20,450,0,0,0,0,0
2016/17,Jakob Haugaard,GK,Stoke,33,0,0,0,0,0,0,0
2016/17,Ryan Shawcross,DEF,Stoke,37,94,3150,1,2,6,0,2
2016/17,Marc Wilson,DEF,West Brom,37,0,255,0,0,3,0,0
2016/17,Geoff Cameron,DEF,Stoke,40,58,1629,0,1,1,0,0
2016/17,Erik Pieters,DEF,Stoke,36,103,3151,0,2,5,0,0
2016/17,Muniesa,DEF,Stoke,33,34,650,1,0,2,0,0
2016/17,Phil Bardsley,DEF,Stoke,40,27,1168,0,0,4,1,0
2016/17,Philipp Wollscheid,DEF,Stoke,36,1,180,0,0,1,0,0
2016/17,Glen Johnson,DEF,Stoke,40,56,1957,0,0,1,0,0
2016/17,Dionatan Teixeira,DEF,Stoke,32,0,0,0,0,0,0,0
2016/17,Stephen Ireland,MID,Stoke,38,0,0,0,0,0,0,0
2016/17,Charlie Adam,MID,Stoke,39,59,1491,1,4,7,0,0
2016/17,Glenn Whelan,MID,Stoke,41,62,2276,0,1,5,0,1
2016/17,Jonathan Walters,MID,Stoke,41,72,1304,4,3,1,0,0
2016/17,Marko Arnautovic,MID,Stoke,36,117,2713,6,7,9,1,0
2016/17,Ibrahim Afellay,MID,Stoke,39,15,384,0,0,0,0,0
2016/17,Xherdan Shaqiri,MID,Stoke,33,80,1699,4,2,2,0,0
2016/17,Giannelli Imbula,MID,Stoke,32,24,796,0,1,1,0,1
2016/17,Bojan,MID,Stoke,34,30,475,3,0,1,0,0
2016/17,Peter Crouch,FWD,Stoke,44,79,1343,7,3,3,0,0
2016/17,Mame Diouf,FWD,Stoke,37,51,1385,1,2,3,0,0
2016/17,Joselu,FWD,Stoke,35,0,0,0,0,0,0,0
2016/17,Vito Mannone,GK,Sunderland,37,34,810,0,0,0,0,0
2016/17,Jordan Pickford,GK,Sunderland,31,102,2610,0,0,0,0,0
2016/17,Younes Kaboul,DEF,Watford,39,57,1910,2,0,2,0,0
2016/17,John O'Shea,DEF,Sunderland,44,47,2158,0,1,5,0,0
2016/17,Patrick van Aanholt,DEF,Crystal Palace,34,98,2498,5,1,3,0,0
2016/17,Adam Matthews,DEF,Sunderland,33,0,0,0,0,0,0,0
2016/17,Jan Kirchhoff,MID,Sunderland,34,12,433,0,1,1,0,0
2016/17,Lee Cattermole,MID,Sunderland,37,12,633,0,0,4,0,0
2016/17,Sebastian Larsson,MID,Sunderland,40,40,1468,0,3,4,1,0
2016/17,Jack Rodwell,MID,Sunderland,34,38,1492,0,1,4,0,0
2016/17,Jeremain Lens,MID,Sunderland,37,2,69,0,0,0,0,0
2016/17,Wahbi Khazri,MID,Sunderland,34,31,849,1,0,6,0,0
2016/17,Duncan Watmore,MID,Sunderland,31,43,1025,0,5,1,0,0
2016/17,Fabio Borini,FWD,Sunderland,34,49,1742,2,0,5,0,0
2016/17,Jermain Defoe,FWD,Sunderland,42,166,3322,15,3,1,0,0
2016/17,Lukasz Fabianski,GK,Swansea,40,116,3330,0,0,1,0,0
